sampleId,wavelengthNm,qDir
ALT035,355,36421445523254.61
ALT035,356,33312392131974.254
ALT035,357,27833029830766.617
ALT035,358,26539778159900.086
ALT035,359,29347544164609.555
ALT035,360,37856423931487.76
ALT035,361,33278174366229.984
ALT035,362,34420978197652.387
ALT035,363,39103474085603.85
ALT035,364,39749818676406.61
ALT035,365,41328675795840.734
ALT035,366,49207045188772.56
ALT035,367,48869826498489.81
ALT035,368,45642423878072.9
ALT035,369,47825715802515.234
ALT035,370,52563993649832.76
ALT035,371,48708082433580.24
ALT035,372,47882843060299.61
ALT035,373,44334113436926.375
ALT035,374,40226327220857.66
ALT035,375,43002314349375.88
ALT035,376,49756583292353.83
ALT035,377,53014834665727.5
ALT035,378,64342505049630.01
ALT035,379,56526481102320.56
ALT035,380,53825171817181.03
ALT035,381,59128981867947.08
ALT035,382,45767872739240.836
ALT035,383,35758703594956.17
ALT035,384,40398516409658.07
ALT035,385,53828392650794.91
ALT035,386,50010016153189.89
ALT035,387,52893639144562.72
ALT035,388,52061204264699
ALT035,389,56584643607319.11
ALT035,390,66320417735573.19
ALT035,391,71418553721061.5
ALT035,392,67262238101637.39
ALT035,393,40884979144405.02
ALT035,394,42565844065003.24
ALT035,395,69908733609959.98
ALT035,396,66024005759783.66
ALT035,397,37444636745783.84
ALT035,398,75551944632663.42
ALT035,399,95382266506835.67
ALT035,400,100223878492679.7
ALT040,290,101168.29340093887
ALT040,291,1171805.8311687224
ALT040,292,9019017.007880596
ALT040,293,29191168.876425922
ALT040,294,175444870.5072105
ALT040,295,533459504.6676998
ALT040,296,2293610789.6395082
ALT040,297,4436405486.42521
ALT040,298,13775016396.324478
ALT040,299,24505614592.379692
ALT040,300,50259757673.69649
ALT040,301,104475398883.96573
ALT040,302,160114445812.33252
ALT040,303,369104131069.9918
ALT040,304,510789661419.63934
ALT040,305,889471863479.4762
ALT040,306,1016287653564.6738
ALT040,307,1408190297985.301
ALT040,308,2004860823215.7625
ALT040,309,2140785298231.7212
ALT040,310,2575118509329.5684
ALT040,311,4214313467377.0586
ALT040,312,4675233596993.377
ALT040,313,5360430942653.354
ALT040,314,5902350220746.389
ALT040,315,6739546629075.955
ALT040,316,6115174042256.988
ALT040,317,8644111649296.022
ALT040,318,8887302236324.592
ALT040,319,10062076992295.652
ALT040,320,10489235332378.467
ALT040,321,12382906601238.314
ALT040,322,11601288845820.283
ALT040,323,10767848589774.293
ALT040,324,14110661575100.627
ALT040,325,14635358435409.438
ALT040,326,19708464236543.535
ALT040,327,21208383690254.47
ALT040,328,19017271888561.94
ALT040,329,22417248765549.926
ALT040,330,25760002084952.254
ALT040,331,22638288778325.324
ALT040,332,24019985899328.12
ALT040,333,24057125894088.94
ALT040,334,23669544527601.82
ALT040,335,26461869119643.066
ALT040,336,23994249501089.234
ALT040,337,22250897323661.387
ALT040,338,25732912301283.16
ALT040,339,27791971261605.25
ALT040,340,30693716307650.918
ALT040,341,28924096739590.965
ALT040,342,30366832220964.09
ALT040,343,32338141121063.387
ALT040,344,26742491000972.348
ALT040,345,29466335305080.832
ALT040,346,30941098812325.984
ALT040,347,32420274005799.72
ALT040,348,31468008506504.81
ALT040,349,31160762138247.523
ALT040,350,35678005642409.36
ALT040,351,37764763694872.7
ALT040,352,35812353408283.91
ALT040,353,36310782692694.414
ALT040,354,42748888799517.125
ALT040,355,43661923091868.266
ALT040,356,39871586467025.664
ALT040,357,33262951704025.902
ALT040,358,31668501138822.637
ALT040,359,34966183710248.87
ALT040,360,45039241426328.55
ALT040,361,39533677623973.195
ALT040,362,40831791260954.305
ALT040,363,46320550152422.96
ALT040,364,47020374567472.53
ALT040,365,48821252595958.53
